N_RIGA;ID_LIBRO;TITOLO;AUTORE;GENERE;ANNO_PUBBLICAZIONE;CASA_EDITRICE;ISBN;LINGUA;N_PAGINE;DISPONIBILE;DATA_INIZIO_PRESTITO;DATA_FINE_PRESTITO
187;LIB0187;I Fiori del Male;Charles Baudelaire;Poesia;1670;Einaudi;978-65-964-2734-6;Italiano;260;NO;2026-03-17;2026-06-15
188;LIB0188;Il Muro;Jean-Paul Sartre;Racconti;1903;Einaudi;978-77-180-7484-7;Italiano;900;SI;NULL;NULL
189;LIB0189;Il Sogno della Camera Rossa;Cao Xueqin;Romanzo classico;1647;Einaudi;978-52-897-3754-8;Italiano;533;NO;2026-03-10;2026-06-08
190;LIB0190;La Montagna Incantata;Thomas Mann;Romanzo;1948;Corbaccio;978-77-622-4176-9;Italiano;313;SI;NULL;NULL
191;LIB0191;Grida;Lu Xun;Racconti;1657;Einaudi;978-92-934-3419-0;Italiano;799;NO;2026-04-20;2026-07-19
192;LIB0192;Addio alle Armi;Ernest Hemingway;Romanzo di guerra;1449;Mondadori;978-35-277-3504-1;Italiano;604;SI;NULL;NULL
193;LIB0193;Orgoglio e Pregiudizio;Jane Austen;Romanzo sentimentale;1971;Newton Compton;978-32-891-9095-2;Italiano;234;SI;NULL;NULL
194;LIB0194;L'Uccello che Girava le Viti del Mondo;Haruki Murakami;Romanzo;1877;Einaudi;978-67-797-6295-3;Italiano;1266;SI;NULL;NULL
195;LIB0195;L'Educazione Sentimentale;Gustave Flaubert;Romanzo;1942;Einaudi;978-29-550-2118-4;Italiano;727;SI;NULL;NULL
196;LIB0196;Gli Indifferenti;Alberto Moravia;Romanzo;1946;Bompiani;978-45-705-1920-5;Italiano;700;SI;NULL;NULL
197;LIB0197;Bonjour Tristesse;Françoise Sagan;Romanzo;1375;Mondadori;978-69-562-1616-6;Italiano;715;NO;2026-02-27;2026-05-28
198;LIB0198;Bruciante Segreto;Stefan Zweig;Racconto;1593;Mondadori;978-92-984-2479-7;Italiano;237;SI;NULL;NULL
199;LIB0199;La Luna e i Falò;Cesare Pavese;Romanzo;1819;Einaudi;978-69-694-1672-8;Italiano;867;SI;NULL;NULL
200;LIB0200;Kitchen;Banana Yoshimoto;Romanzo;1885;Feltrinelli;978-34-429-8792-9;Italiano;1414;SI;NULL;NULL
201;LIB0201;I Versi Satanici;Salman Rushdie;Romanzo;1363;Mondadori;978-23-930-6626-0;Italiano;1002;SI;NULL;NULL
202;LIB0202;Storia della Bambina Perduta;Elena Ferrante;Romanzo;1386;Edizioni e/o;978-92-276-1641-1;Italiano;1113;NO;2026-03-17;2026-06-15
203;LIB0203;Notturno Cileno;Roberto Bolaño;Racconto;1748;Adelphi;978-77-635-3600-2;Italiano;979;SI;NULL;NULL
204;LIB0204;Solaris;Stanisław Lem;Fantascienza;1589;Mondadori;978-62-893-6543-3;Italiano;873;SI;NULL;NULL
205;LIB0205;I Racconti Incompiuti;J.R.R. Tolkien;Fantasy;1353;Bompiani;978-92-442-2079-4;Italiano;1372;SI;NULL;NULL
206;LIB0206;ZeroZeroZero;Roberto Saviano;Saggio narrativo;1871;Feltrinelli;978-59-390-5128-5;Italiano;1469;SI;NULL;NULL
207;LIB0207;Se questo è un Uomo;Primo Levi;Memoir;1972;Einaudi;978-29-441-2335-6;Italiano;1314;SI;NULL;NULL
208;LIB0208;La Promessa;Friedrich Dürrenmatt;Giallo;1444;Einaudi;978-49-771-7421-7;Italiano;796;NO;2026-05-09;2026-08-07
209;LIB0209;Il Gioco delle Perle di Vetro;Hermann Hesse;Romanzo filosofico;1386;Mondadori;978-81-485-6381-8;Italiano;714;SI;NULL;NULL
210;LIB0210;Orlando Furioso;Ludovico Ariosto;Poema epico;1986;Einaudi;978-77-195-7937-9;Italiano;1483;SI;NULL;NULL
211;LIB0211;Lo Hobbit;J.R.R. Tolkien;Fantasy;1318;Bompiani;978-49-284-4509-0;Italiano;822;SI;NULL;NULL
212;LIB0212;Espiazione;Ian McEwan;Romanzo;1797;Einaudi;978-38-240-3538-1;Italiano;473;NO;2026-03-31;2026-06-29
213;LIB0213;Ubik;Philip K. Dick;Fantascienza;1403;Fanucci;978-79-955-9626-2;Italiano;1119;NO;2026-04-29;2026-07-28
214;LIB0214;Voss;Patrick White;Romanzo;1644;Einaudi;978-26-711-7172-3;Italiano;1345;NO;2026-04-18;2026-07-17
215;LIB0215;Città Aperta;Teju Cole;Romanzo;1485;Einaudi;978-89-928-3712-4;Italiano;1498;SI;NULL;NULL
216;LIB0216;V.;Thomas Pynchon;Postmoderno;1344;Einaudi;978-56-792-4891-5;Italiano;921;SI;NULL;NULL
217;LIB0217;La Morte di Artemio Cruz;Carlos Fuentes;Romanzo;1925;Einaudi;978-67-339-9749-6;Italiano;663;NO;2026-04-25;2026-07-24
218;LIB0218;L'Alchimista;Paulo Coelho;Narrativa;1780;Bompiani;978-57-794-8218-7;Italiano;477;SI;NULL;NULL
219;LIB0219;Diceria dell'Untore;Gesualdo Bufalino;Romanzo;1588;Sellerio;978-74-640-7859-8;Italiano;862;SI;NULL;NULL
220;LIB0220;Il Gattopardo;Giuseppe Tomasi di Lampedusa;Romanzo storico;1504;Feltrinelli;978-27-993-5096-9;Italiano;1318;NO;2026-03-20;2026-06-18
221;LIB0221;L'Arcobaleno della Gravità;Thomas Pynchon;Postmoderno;1792;Einaudi;978-80-205-9452-0;Italiano;840;SI;NULL;NULL
222;LIB0222;La Svastica sul Sole;Philip K. Dick;Fantascienza;1591;Fanucci;978-30-379-8361-1;Italiano;251;SI;NULL;NULL
223;LIB0223;Doppio Sogno;Arthur Schnitzler;Racconto;1450;Adelphi;978-21-327-8391-2;Italiano;975;SI;NULL;NULL
224;LIB0224;Otello;William Shakespeare;Teatro;1327;Einaudi;978-16-505-9224-3;Italiano;929;SI;NULL;NULL
225;LIB0225;Iliade;Omero;Poema epico;1695;Einaudi;978-57-329-1461-4;Italiano;247;SI;NULL;NULL
226;LIB0226;Il Profeta;Kahlil Gibran;Poesia in prosa;1401;Newton Compton;978-52-910-3392-5;Italiano;1411;NO;2026-02-28;2026-05-29
227;LIB0227;L'Insostenibile Leggerezza dell'Essere;Milan Kundera;Romanzo filosofico;1593;Adelphi;978-99-951-3273-6;Italiano;1047;SI;NULL;NULL
228;LIB0228;Arco di Trionfo;Erich Maria Remarque;Romanzo;1780;Mondadori;978-88-105-2298-7;Italiano;998;NO;2026-04-23;2026-07-22
229;LIB0229;Norwegian Wood;Haruki Murakami;Romanzo;1520;Einaudi;978-80-844-9647-8;Italiano;386;SI;NULL;NULL
230;LIB0230;Il Buio oltre la Siepe;Harper Lee;Romanzo sociale;1595;Feltrinelli;978-48-224-1782-9;Italiano;566;NO;2026-03-12;2026-06-10
231;LIB0231;Notre-Dame de Paris;Victor Hugo;Romanzo storico;1954;Mondadori;978-68-164-2816-0;Italiano;1355;SI;NULL;NULL
232;LIB0232;Dieci Piccoli Indiani;Agatha Christie;Giallo;1811;Mondadori;978-78-116-9443-1;Italiano;1302;SI;NULL;NULL
233;LIB0233;Assassinio sull'Orient Express;Agatha Christie;Giallo;1447;Mondadori;978-64-101-6780-2;Italiano;676;NO;2026-02-20;2026-05-21
234;LIB0234;Malina;Ingeborg Bachmann;Romanzo;1726;Adelphi;978-95-784-2402-3;Italiano;463;SI;NULL;NULL
235;LIB0235;Discorsi sopra la Prima Deca di Tito Livio;Niccolò Machiavelli;Saggio politico;1669;Einaudi;978-77-657-9312-4;Italiano;218;SI;NULL;NULL
236;LIB0236;I Nudi e i Morti;Norman Mailer;Romanzo di guerra;1819;Mondadori;978-12-499-8702-5;Italiano;1214;NO;2026-04-23;2026-07-22
237;LIB0237;Feste Galanti;Paul Verlaine;Poesia;1696;Einaudi;978-42-865-1266-6;Italiano;844;SI;NULL;NULL
238;LIB0238;Myricae;Giovanni Pascoli;Poesia;1369;Zanichelli;978-40-850-2698-7;Italiano;786;SI;NULL;NULL
239;LIB0239;Grandi Speranze;Charles Dickens;Romanzo di formazione;1640;Newton Compton;978-15-460-9945-8;Italiano;353;SI;NULL;NULL
240;LIB0240;Cronache Marziane;Ray Bradbury;Fantascienza;1958;Mondadori;978-97-575-8840-9;Italiano;438;SI;NULL;NULL
241;LIB0241;La Strada;Cormac McCarthy;Romanzo post-apocalittico;1438;Einaudi;978-68-137-5807-0;Italiano;209;NO;2026-05-11;2026-08-09
242;LIB0242;Punto Contropunto;Aldous Huxley;Romanzo;1504;Mondadori;978-50-417-9444-1;Italiano;165;SI;NULL;NULL
243;LIB0243;Eugénie Grandet;Honoré de Balzac;Realismo;1856;Einaudi;978-42-137-4131-2;Italiano;1049;NO;2026-05-01;2026-07-30
244;LIB0244;Il Ladro di Merendine;Andrea Camilleri;Giallo;1348;Sellerio;978-52-379-3039-3;Italiano;1422;SI;NULL;NULL
245;LIB0245;Memorie di Adriano;Marguerite Yourcenar;Romanzo storico;1747;Einaudi;978-66-495-6554-4;Italiano;899;SI;NULL;NULL
246;LIB0246;Le Elegie Duinesi;Rainer Maria Rilke;Poesia;1808;Einaudi;978-73-476-9507-5;Italiano;1497;NO;2026-05-13;2026-08-11
247;LIB0247;La Figlia del Pastore;George Orwell;Romanzo;1384;Mondadori;978-20-540-3956-6;Italiano;949;SI;NULL;NULL
248;LIB0248;Storia di Chi Fugge e di Chi Resta;Elena Ferrante;Romanzo;1628;Edizioni e/o;978-20-435-5843-7;Italiano;290;SI;NULL;NULL
249;LIB0249;La Divina Commedia;Dante Alighieri;Poesia epica;1917;Le Monnier;978-31-806-8272-8;Italiano;952;SI;NULL;NULL
250;LIB0250;Il Pozzo e il Pendolo;Edgar Allan Poe;Racconto horror;1343;Newton Compton;978-88-545-5498-9;Italiano;802;SI;NULL;NULL
251;LIB0251;Interpreter of Maladies;Jhumpa Lahiri;Racconti;1358;Guanda;978-95-752-7655-0;Italiano;233;SI;NULL;NULL
252;LIB0252;Non Lasciarmi;Kazuo Ishiguro;Romanzo distopico;1995;Einaudi;978-13-246-8179-1;Italiano;407;NO;2026-04-24;2026-07-23
253;LIB0253;Lo stesso Mare;Amos Oz;Romanzo;1368;Feltrinelli;978-92-475-6933-2;Italiano;563;SI;NULL;NULL
254;LIB0254;La Vita Nuova;Dante Alighieri;Poesia;1880;Einaudi;978-87-257-8371-3;Italiano;146;SI;NULL;NULL
255;LIB0255;Poesie;Emily Dickinson;Poesia;1680;Einaudi;978-19-687-3255-4;Italiano;989;SI;NULL;NULL
256;LIB0256;L'Immoralista;André Gide;Romanzo;1707;Einaudi;978-93-385-5089-5;Italiano;723;SI;NULL;NULL
257;LIB0257;La Caduta;Albert Camus;Romanzo;1326;Bompiani;978-73-630-7340-6;Italiano;461;SI;NULL;NULL
258;LIB0258;Volo di Notte;Antoine de Saint-Exupéry;Romanzo;1420;Einaudi;978-43-820-8311-7;Italiano;616;NO;2026-03-16;2026-06-14
259;LIB0259;2001 Odissea nello Spazio;Arthur C. Clarke;Fantascienza;1926;Mondadori;978-98-602-4279-8;Italiano;664;NO;2026-02-17;2026-05-18
260;LIB0260;Martin Eden;Jack London;Romanzo di formazione;1375;Feltrinelli;978-32-830-8292-9;Italiano;1005;SI;NULL;NULL
261;LIB0261;Il Sole Sorge Ancora;Ernest Hemingway;Romanzo;1998;Mondadori;978-95-455-2063-0;Italiano;734;SI;NULL;NULL
262;LIB0262;Underworld;Don DeLillo;Romanzo;1597;Einaudi;978-30-828-3852-1;Italiano;694;SI;NULL;NULL
263;LIB0263;Isola;Aldous Huxley;Utopia;1820;Mondadori;978-25-305-3275-2;Italiano;539;NO;2026-03-23;2026-06-21
264;LIB0264;Correzione;Thomas Bernhard;Romanzo;1805;Einaudi;978-56-667-7044-3;Italiano;133;SI;NULL;NULL
265;LIB0265;La Torre;Hugo von Hofmannsthal;Teatro;1864;Adelphi;978-88-188-2077-4;Italiano;345;SI;NULL;NULL
266;LIB0266;Fiabe;Hans Christian Andersen;Fiabe;1790;Einaudi;978-62-887-7708-5;Italiano;1156;SI;NULL;NULL
267;LIB0267;In Cold Blood;Truman Capote;True crime;1375;Garzanti;978-50-757-2215-6;Italiano;336;SI;NULL;NULL
268;LIB0268;La Macchina del Tempo;H.G. Wells;Fantascienza;1996;Newton Compton;978-54-231-3981-7;Italiano;1139;SI;NULL;NULL
269;LIB0269;Narciso e Boccadoro;Hermann Hesse;Romanzo;1432;Mondadori;978-74-989-1907-8;Italiano;966;SI;NULL;NULL
270;LIB0270;Quel che Resta del Giorno;Kazuo Ishiguro;Romanzo;1830;Einaudi;978-48-268-3653-9;Italiano;393;SI;NULL;NULL
271;LIB0271;La Schiuma dei Giorni;Boris Vian;Romanzo;1530;Einaudi;978-76-390-2292-0;Italiano;788;NO;2026-05-05;2026-08-03
272;LIB0272;Bartleby lo Scrivano;Herman Melville;Racconto;1950;Feltrinelli;978-45-228-5961-1;Italiano;1208;SI;NULL;NULL
273;LIB0273;Confessioni di una Maschera;Yukio Mishima;Romanzo;1395;Feltrinelli;978-92-272-3526-2;Italiano;1109;NO;2026-03-22;2026-06-20
274;LIB0274;Una Vita;Italo Svevo;Romanzo;1939;Einaudi;978-53-962-1674-3;Italiano;1319;SI;NULL;NULL
275;LIB0275;L'Isola di Arturo;Elsa Morante;Romanzo;1329;Einaudi;978-15-756-5336-4;Italiano;246;SI;NULL;NULL
276;LIB0276;La Peste;Albert Camus;Romanzo filosofico;1885;Bompiani;978-89-754-1496-5;Italiano;933;SI;NULL;NULL
277;LIB0277;Lo Straniero;Albert Camus;Esistenzialismo;1942;Bompiani;978-47-757-5949-6;Italiano;1197;SI;NULL;NULL
278;LIB0278;Mariage à l'Italienne;Cristina Comencini;Romanzo;2001;Feltrinelli;978-48-564-2195-7;Italiano;911;SI;NULL;NULL
279;LIB0279;Il Padre;August Strindberg;Teatro;1461;Einaudi;978-63-595-8609-8;Italiano;980;NO;2026-02-24;2026-05-25
280;LIB0280;Todo Modo;Leonardo Sciascia;Romanzo;1921;Einaudi;978-50-982-6231-9;Italiano;374;SI;NULL;NULL
281;LIB0281;Di qua dal Paradiso;F. Scott Fitzgerald;Romanzo di formazione;1653;Mondadori;978-26-878-7070-0;Italiano;896;SI;NULL;NULL
282;LIB0282;Cecità;José Saramago;Romanzo allegorico;1408;Einaudi;978-40-577-3007-1;Italiano;733;NO;2026-05-04;2026-08-02
283;LIB0283;Oliver Twist;Charles Dickens;Romanzo sociale;1553;Newton Compton;978-22-151-5754-2;Italiano;368;SI;NULL;NULL
284;LIB0284;L'Amore ai Tempi del Colera;Gabriel García Márquez;Romanzo;1930;Feltrinelli;978-41-986-3616-3;Italiano;936;SI;NULL;NULL
285;LIB0285;L'Uomo che Ride;Victor Hugo;Romanzo;1891;Mondadori;978-34-881-3610-4;Italiano;720;SI;NULL;NULL
286;LIB0286;L'Isola Misteriosa;Jules Verne;Avventura;1827;Mondadori;978-73-415-9148-5;Italiano;1036;NO;2026-04-27;2026-07-26
287;LIB0287;La Stanza di Giovanni;James Baldwin;Romanzo;1702;Fandango;978-68-346-4524-6;Italiano;1115;SI;NULL;NULL
288;LIB0288;Il Grande Sonno;Raymond Chandler;Noir;1349;Mondadori;978-46-606-8710-7;Italiano;183;NO;2026-04-06;2026-07-05
289;LIB0289;Il Piccolo Principe;Antoine de Saint-Exupéry;Favola;1308;Bompiani;978-65-237-5333-8;Italiano;300;SI;NULL;NULL
290;LIB0290;La Forma dell'Acqua;Andrea Camilleri;Giallo;1712;Sellerio;978-15-510-1838-9;Italiano;829;SI;NULL;NULL
291;LIB0291;Seconda Fondazione;Isaac Asimov;Fantascienza;1499;Mondadori;978-80-395-2204-0;Italiano;822;SI;NULL;NULL
292;LIB0292;Il Nome della Rosa;Umberto Eco;Romanzo storico;1761;Bompiani;978-45-945-2946-1;Italiano;1206;NO;2026-02-25;2026-05-26
293;LIB0293;Danubio;Claudio Magris;Saggio narrativo;1399;Garzanti;978-57-913-6555-2;Italiano;886;SI;NULL;NULL
294;LIB0294;Lettera a un Bambino mai Nato;Oriana Fallaci;Romanzo;1674;Rizzoli;978-35-716-9341-3;Italiano;375;SI;NULL;NULL
295;LIB0295;Il Signore delle Mosche;William Golding;Romanzo;1341;Mondadori;978-14-240-6456-4;Italiano;172;SI;NULL;NULL
296;LIB0296;Cimitero Vivente;Stephen King;Horror;1831;Sperling & Kupfer;978-29-720-9446-5;Italiano;1015;NO;2026-05-15;2026-08-13
297;LIB0297;Amleto;William Shakespeare;Teatro;1927;Einaudi;978-30-502-5902-6;Italiano;732;SI;NULL;NULL
298;LIB0298;Metà di un Sole Giallo;Chimamanda Ngozi Adichie;Romanzo;1819;Einaudi;978-78-601-5911-7;Italiano;1123;SI;NULL;NULL
299;LIB0299;Ho Servito il Re d'Inghilterra;Bohumil Hrabal;Romanzo;1317;e/o;978-52-789-2795-8;Italiano;834;SI;NULL;NULL
300;LIB0300;Tragedia in tre Atti;Agatha Christie;Giallo;1897;Mondadori;978-98-744-1436-9;Italiano;710;SI;NULL;NULL
301;LIB0301;Vent'anni Dopo;Alexandre Dumas;Avventura;1571;Newton Compton;978-84-691-4728-0;Italiano;1422;SI;NULL;NULL
302;LIB0302;Caos Calmo;Sandro Veronesi;Romanzo;1897;Bompiani;978-31-636-7229-1;Italiano;1063;NO;2026-03-28;2026-06-26
303;LIB0303;Cristo si è Fermato a Eboli;Carlo Levi;Memoir;1997;Einaudi;978-14-686-2800-2;Italiano;576;NO;2026-04-03;2026-07-02
304;LIB0304;Come Dio Comanda;Niccolò Ammaniti;Romanzo;1751;Mondadori;978-63-255-7765-3;Italiano;722;SI;NULL;NULL
305;LIB0305;Pastorale Americana;Philip Roth;Romanzo;1720;Einaudi;978-88-582-2020-4;Italiano;1107;SI;NULL;NULL
306;LIB0306;Il Pendolo di Foucault;Umberto Eco;Romanzo;1831;Bompiani;978-81-432-8837-5;Italiano;504;SI;NULL;NULL
307;LIB0307;Rayuela;Julio Cortázar;Romanzo;1621;Einaudi;978-68-645-6608-6;Italiano;434;SI;NULL;NULL
308;LIB0308;Sulla Strada;Jack Kerouac;Romanzo;1992;Mondadori;978-92-922-5331-7;Italiano;1474;SI;NULL;NULL
309;LIB0309;L'Uomo Senza Qualità;Robert Musil;Romanzo;1496;Einaudi;978-45-671-5890-8;Italiano;584;NO;2026-04-28;2026-07-27
310;LIB0310;L'Uomo di Neve;Jo Nesbø;Thriller;1604;Einaudi;978-36-806-9011-9;Italiano;671;SI;NULL;NULL
311;LIB0311;Kokoro;Natsume Sōseki;Romanzo;1657;Einaudi;978-45-394-2996-0;Italiano;1227;SI;NULL;NULL
312;LIB0312;Ghiaccio Nove;Kurt Vonnegut;Romanzo;1856;Feltrinelli;978-60-938-6654-1;Italiano;857;SI;NULL;NULL
313;LIB0313;Il Signore Ibrahim e i Fiori del Corano;Éric-Emmanuel Schmitt;Racconto;1449;Adelphi;978-15-394-2294-2;Italiano;674;SI;NULL;NULL
314;LIB0314;Requiem;Anna Achmatova;Poesia;1752;Einaudi;978-42-865-8849-3;Italiano;1423;NO;2026-03-10;2026-06-08
315;LIB0315;Ada o Ardore;Vladimir Nabokov;Romanzo;1851;Adelphi;978-81-812-5450-4;Italiano;635;NO;2026-03-25;2026-06-23
316;LIB0316;1984;George Orwell;Distopia;1930;Mondadori;978-40-348-1831-5;Italiano;1281;SI;NULL;NULL
317;LIB0317;Quaderni dal Carcere;Antonio Gramsci;Saggio;1843;Einaudi;978-91-338-1860-6;Italiano;542;NO;2026-04-20;2026-07-19
318;LIB0318;Tempi Difficili;Charles Dickens;Romanzo sociale;1638;Newton Compton;978-22-797-3252-7;Italiano;1047;NO;2026-05-08;2026-08-06
319;LIB0319;Il Sorriso dell'Ignoto Marinaio;Vincenzo Consolo;Romanzo storico;1863;Einaudi;978-62-768-8793-8;Italiano;403;SI;NULL;NULL
320;LIB0320;Una Vita Violenta;Pier Paolo Pasolini;Romanzo;1504;Garzanti;978-51-392-1969-9;Italiano;668;SI;NULL;NULL
321;LIB0321;L'Isola del Tesoro;Robert Louis Stevenson;Avventura;1391;Newton Compton;978-83-337-9767-0;Italiano;1415;SI;NULL;NULL
322;LIB0322;Carrie;Stephen King;Horror;1338;Sperling & Kupfer;978-63-957-3880-1;Italiano;438;SI;NULL;NULL
323;LIB0323;Angeli e Demoni;Dan Brown;Thriller;1337;Mondadori;978-73-290-5742-2;Italiano;893;SI;NULL;NULL
324;LIB0324;I Promessi Sposi;Alessandro Manzoni;Romanzo storico;1309;Mondadori;978-82-717-2758-3;Italiano;691;SI;NULL;NULL
325;LIB0325;L'Urlo e il Furore;William Faulkner;Modernismo;1643;Adelphi;978-68-756-9901-4;Italiano;662;SI;NULL;NULL
326;LIB0326;Comma 22;Joseph Heller;Romanzo satirico;1437;Mondadori;978-69-379-4159-5;Italiano;1112;SI;NULL;NULL
327;LIB0327;Il Giorno dell'Opričnik;Vladimir Sorokin;Romanzo;1638;Einaudi;978-68-763-5215-6;Italiano;412;SI;NULL;NULL
328;LIB0328;Il Pettirosso;Jo Nesbø;Thriller;1314;Einaudi;978-47-681-4164-7;Italiano;770;NO;2026-02-23;2026-05-24
329;LIB0329;Le Correzioni;Jonathan Franzen;Romanzo contemporaneo;1954;Einaudi;978-64-627-6372-8;Italiano;910;NO;2026-04-18;2026-07-17
330;LIB0330;Lolita;Vladimir Nabokov;Romanzo;1985;Adelphi;978-33-243-8822-9;Italiano;275;SI;NULL;NULL
331;LIB0331;Il Signore degli Anelli;J.R.R. Tolkien;Fantasy;1554;Bompiani;978-43-492-4858-0;Italiano;93;SI;NULL;NULL
332;LIB0332;Billy Budd;Herman Melville;Racconto;1573;Einaudi;978-48-696-1187-1;Italiano;755;NO;2026-03-20;2026-06-18
333;LIB0333;La Voce del Violino;Andrea Camilleri;Giallo;1668;Sellerio;978-40-163-2936-2;Italiano;1498;SI;NULL;NULL
334;LIB0334;Resistere non Serve a Niente;Walter Siti;Romanzo;1463;Rizzoli;978-97-614-6095-3;Italiano;910;SI;NULL;NULL
335;LIB0335;Le Avventure di Huckleberry Finn;Mark Twain;Avventura;1954;Mondadori;978-57-729-4618-4;Italiano;684;NO;2026-04-13;2026-07-12
336;LIB0336;Stagione di Migrazione al Nord;Tayeb Salih;Romanzo post-coloniale;1436;Einaudi;978-29-565-7121-5;Italiano;1059;SI;NULL;NULL
337;LIB0337;Uomini che Odiano le Donne;Stieg Larsson;Thriller;1862;Marsilio;978-78-921-4578-6;Italiano;1044;SI;NULL;NULL
338;LIB0338;1Q84;Haruki Murakami;Romanzo;1996;Einaudi;978-20-638-8319-7;Italiano;1300;SI;NULL;NULL
339;LIB0339;Il Piacere;Gabriele D'Annunzio;Romanzo;1670;Mondadori;978-82-214-2011-8;Italiano;239;SI;NULL;NULL
340;LIB0340;La Paura;Stefan Zweig;Racconto;1817;Mondadori;978-83-649-3455-9;Italiano;494;NO;2026-03-07;2026-06-05
341;LIB0341;Il Fuoco;Gabriele D'Annunzio;Romanzo;1832;Mondadori;978-24-796-4365-0;Italiano;984;SI;NULL;NULL
342;LIB0342;L'Assommoir;Émile Zola;Naturalismo;1800;Einaudi;978-75-556-1911-1;Italiano;266;SI;NULL;NULL
343;LIB0343;Un Uomo;Oriana Fallaci;Romanzo;1825;Rizzoli;978-68-677-1945-2;Italiano;930;SI;NULL;NULL
344;LIB0344;Americanah;Chimamanda Ngozi Adichie;Romanzo;1988;Einaudi;978-12-505-5169-3;Italiano;711;SI;NULL;NULL
345;LIB0345;Canto di Natale;Charles Dickens;Novella;1523;Newton Compton;978-19-146-7941-4;Italiano;1264;SI;NULL;NULL
346;LIB0346;Rashomon;Ryūnosuke Akutagawa;Racconti;1365;Feltrinelli;978-17-170-8734-5;Italiano;1188;NO;2026-03-25;2026-06-23
347;LIB0347;Vita e Destino;Vasily Grossman;Romanzo di guerra;1718;Adelphi;978-27-884-7887-6;Italiano;448;SI;NULL;NULL
348;LIB0348;Dracula;Bram Stoker;Horror gotico;1691;Newton Compton;978-58-484-2314-7;Italiano;998;SI;NULL;NULL
349;LIB0349;Il Canzoniere;Umberto Saba;Poesia;1977;Einaudi;978-27-769-6697-8;Italiano;1184;NO;2026-04-29;2026-07-28
350;LIB0350;Romeo e Giulietta;William Shakespeare;Teatro;1850;Einaudi;978-77-230-4648-9;Italiano;884;SI;NULL;NULL
351;LIB0351;La Ragazza dello Sputnik;Haruki Murakami;Romanzo;1323;Einaudi;978-69-789-9920-0;Italiano;691;SI;NULL;NULL
352;LIB0352;Io non ho Paura;Niccolò Ammaniti;Romanzo;1688;Einaudi;978-41-571-6671-1;Italiano;550;NO;2026-03-31;2026-06-29
353;LIB0353;Molloy;Samuel Beckett;Romanzo;1493;Einaudi;978-14-928-7868-2;Italiano;311;SI;NULL;NULL
354;LIB0354;Sabato;Ian McEwan;Romanzo;1316;Einaudi;978-36-168-2653-3;Italiano;572;SI;NULL;NULL
355;LIB0355;Il Meraviglioso Viaggio di Nils Holgersson;Selma Lagerlöf;Fiaba;1757;Einaudi;978-96-820-1797-4;Italiano;1304;NO;2026-02-16;2026-05-17
356;LIB0356;Gerusalemme Liberata;Torquato Tasso;Poema epico;1345;Einaudi;978-66-339-9843-5;Italiano;903;NO;2026-03-16;2026-06-14
357;LIB0357;Il Deserto dei Tartari;Dino Buzzati;Romanzo;1357;Mondadori;978-74-396-4836-6;Italiano;366;SI;NULL;NULL
358;LIB0358;Il Conte di Carmagnola;Alessandro Manzoni;Tragedia;1889;Mondadori;978-83-712-6253-7;Italiano;733;NO;2026-05-08;2026-08-06
359;LIB0359;Dalla Parte di Swann;Marcel Proust;Modernismo;1446;Einaudi;978-76-326-7775-8;Italiano;1432;SI;NULL;NULL
360;LIB0360;I Miei Luoghi del Delitto;Haruki Murakami;Racconti;1362;Einaudi;978-85-852-3869-9;Italiano;1220;SI;NULL;NULL
361;LIB0361;Fondazione;Isaac Asimov;Fantascienza;1737;Mondadori;978-73-148-6642-0;Italiano;1218;SI;NULL;NULL
362;LIB0362;Il Cacciatore di Aquiloni;Khaled Hosseini;Romanzo;1987;Piemme;978-77-426-7821-1;Italiano;860;SI;NULL;NULL
363;LIB0363;Madame Bovary;Gustave Flaubert;Realismo;1607;Einaudi;978-33-872-9813-2;Italiano;850;SI;NULL;NULL
364;LIB0364;Cento Anni di Solitudine;Gabriel García Márquez;Realismo magico;1530;Feltrinelli;978-28-925-8586-3;Italiano;695;SI;NULL;NULL
365;LIB0365;Il Cacciatore di Androidi;Philip K. Dick;Fantascienza;1875;Fanucci;978-63-670-9683-4;Italiano;925;NO;2026-04-29;2026-07-28
366;LIB0366;Dio di Illusioni;Donna Tartt;Romanzo;1548;Rizzoli;978-36-438-2295-5;Italiano;602;SI;NULL;NULL
367;LIB0367;Ferdydurke;Witold Gombrowicz;Romanzo;1679;Feltrinelli;978-78-841-4120-6;Italiano;269;NO;2026-02-28;2026-05-29
368;LIB0368;Il Principe;Niccolò Machiavelli;Saggio politico;1686;Einaudi;978-87-717-1647-7;Italiano;1459;SI;NULL;NULL
369;LIB0369;Middlesex;Jeffrey Eugenides;Romanzo;1492;Mondadori;978-95-672-4555-8;Italiano;1283;SI;NULL;NULL
370;LIB0370;Silenzio;Shūsaku Endō;Romanzo storico;1640;Corbaccio;978-11-316-4113-9;Italiano;700;SI;NULL;NULL
371;LIB0371;All'Ombra delle Fanciulle in Fiore;Marcel Proust;Modernismo;1420;Einaudi;978-41-812-4350-0;Italiano;1060;SI;NULL;NULL
372;LIB0372;La Città e i Cani;Mario Vargas Llosa;Romanzo;1545;Einaudi;978-51-894-5637-1;Italiano;1210;SI;NULL;NULL
373;LIB0373;L'Allegria;Giuseppe Ungaretti;Poesia;1846;Mondadori;978-55-415-5285-2;Italiano;1408;SI;NULL;NULL
